"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"central bedfordshire_gbr.1_1_gb","Central Bedfordshire","city_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.5958333333333,1,2019,4,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_background_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3,1,2019,5,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3,1,2019,6,TRUE,"gbr.1_1"
"london_gbr.1_1_gb","London","city_background_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,33.5428327922078,1,2019,3,TRUE,"gbr.1_1"
"london_gbr.1_1_gb","London","city_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,33.6322537878788,1,2019,4,TRUE,"gbr.1_1"
"medway_gbr.1_1_gb","Medway","city_background_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.7941666666667,1,2019,4,TRUE,"gbr.1_1"
"medway_gbr.1_1_gb","Medway","city_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.5220833333333,1,2019,5,TRUE,"gbr.1_1"
"norwich_gbr.1_1_gb","Norwich","city_background_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,37.1125,1,2019,3,TRUE,"gbr.1_1"
"norwich_gbr.1_1_gb","Norwich","city_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,37.1125,1,2019,4,TRUE,"gbr.1_1"
"portsmouth_gbr.1_1_gb","Portsmouth","city_background_day_mad",2019-01-21,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.7508333333333,1,2019,1,TRUE,"gbr.1_1"
